timestamp,emotion,happy,sad,angry,neutral,fear
2025-07-27 17:23:13,happy,0.01951027102768421,0.010545981116592884,0.02902338281273842,0.9203206896781921,0.001823549042455852,0.018776055425405502
2025-07-27 17:23:19,angry,0.9889561533927917,0.010973832570016384,5.7714569265954196e-05,1.2030016478092875e-05,7.601669294032831e-10,1.7798518570089072e-07
2025-07-27 17:23:37,angry,0.9889561533927917,0.010973832570016384,5.7714569265954196e-05,1.2030016478092875e-05,7.601669294032831e-10,1.7798518570089072e-07
2025-07-27 17:23:52,happy,0.01951027102768421,0.010545981116592884,0.02902338281273842,0.9203206896781921,0.001823549042455852,0.018776055425405502
2025-07-27 17:24:35,disgust,1.1705723196309137e-11,0.9193395972251892,0.07994744926691055,4.97945165989222e-06,1.466808384975593e-06,0.0007065555546432734
2025-07-27 17:26:10,angry,0.9583022594451904,0.0001623393764020875,0.003457216080278158,3.5996392398374155e-05,2.7741360099753365e-05,0.03801441192626953
2025-07-27 17:27:51,angry,0.995096743106842,3.7763413274660707e-05,0.004853500984609127,2.991583925027186e-10,3.575041773729026e-08,1.1912683476111852e-05
2025-08-08 17:20:16,disgust,0.059280939400196075,0.6646332740783691,0.10567755997180939,0.11381769925355911,0.05656391382217407,2.6513713237363845e-05
2025-08-10 15:56:38,sad,0.20373602211475372,0.0011537926038727164,0.0001334973785560578,2.682456756719631e-10,1.4253400593133847e-07,0.794976532459259
2025-09-04 16:46:19,happy,0.01951027102768421,0.010545981116592884,0.02902338281273842,0.9203206896781921,0.001823549042455852,0.018776055425405502
